experiment_id,paper,technique,architecture,status,stage,epoch,split,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,parameters,trainable_parameters,inference_latency_ms,training_time_minutes,checkpoint,test_used,source_file,notes
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,full,4,val,0.8594,0.8645,0.8606,0.8575,NOT_RECORDED (per-epoch log has macro only),4017796,4017796,,,checkpoints/full/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 20; train_loss 0.1835, val_loss 0.4283"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,full,5,val,0.8652,0.8685,0.8661,0.8636,NOT_RECORDED (per-epoch log has macro only),4017796,4017796,,,checkpoints/full/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 21; train_loss 0.1597, val_loss 0.3957"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,full,6,val,0.8672,0.869,0.8679,0.8648,NOT_RECORDED (per-epoch log has macro only),4017796,4017796,,,checkpoints/full/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 22; train_loss 0.1464, val_loss 0.3862"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,full,7,val,0.8516,0.8566,0.8525,0.8484,NOT_RECORDED (per-epoch log has macro only),4017796,4017796,,,checkpoints/full/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 23; train_loss 0.1293, val_loss 0.4134"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,full,8,val,0.8535,0.8615,0.8545,0.8516,NOT_RECORDED (per-epoch log has macro only),4017796,4017796,,,checkpoints/full/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 24; train_loss 0.1160, val_loss 0.4084"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,full,9,val,0.8711,0.8752,0.8719,0.8697,NOT_RECORDED (per-epoch log has macro only),4017796,4017796,,,checkpoints/full/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 25; train_loss 0.1104, val_loss 0.3751"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,full,10,val,0.8613,0.8654,0.8622,0.8591,NOT_RECORDED (per-epoch log has macro only),4017796,4017796,,,checkpoints/full/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 26; train_loss 0.1024, val_loss 0.3794"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,full,11,val,0.8613,0.8674,0.862,0.859,NOT_RECORDED (per-epoch log has macro only),4017796,4017796,,,checkpoints/full/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 27; train_loss 0.0926, val_loss 0.3827"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,full,12,val,0.8535,0.8594,0.8544,0.8504,NOT_RECORDED (per-epoch log has macro only),4017796,4017796,,,checkpoints/full/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 28; train_loss 0.0826, val_loss 0.3929"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,full,13,val,0.8633,0.8681,0.8638,0.8608,NOT_RECORDED (per-epoch log has macro only),4017796,4017796,,,checkpoints/full/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 29; train_loss 0.0874, val_loss 0.3803"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,full,14,val,0.8613,0.8679,0.862,0.8585,NOT_RECORDED (per-epoch log has macro only),4017796,4017796,,,checkpoints/full/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 30; train_loss 0.0735, val_loss 0.3820"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,full,15,val,0.873,0.8763,0.8735,0.8706,NOT_RECORDED (per-epoch log has macro only),4017796,4017796,,,checkpoints/full/ (per-stage best/last only),NO,results/experiments/EXP-001/metrics.csv,"metrics.csv line 31; train_loss 0.0654, val_loss 0.3669"
EXP-001,none (repository defaults [C]),"EfficientNet-B0 baseline: CLAHE on, staged head->partial->full, AdamW","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)",COMPLETED,partial,9,val (re-evaluation of best_model.pth),0.9004,0.9018,0.901,0.9004,0.9002,4017796,3165988,9.004,25.8,"Drive: MyDrive/AquaHealth/runs/experiments/EXP-001/best_model.pth (16 MB, not in git)",NO,results/experiments/EXP-001/eval_val/metrics.json,src.evaluate on val split; ECE 0.0555; misclassified 51/512
EXP-002,P1 / P4 (preprocessing),"CLAHE off, everything else = EXP-001","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)","UNVERIFIED (ran 22:28 to <=22:43 IST, shorter than a full run; possibly FAILED)",,,val,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,,NO,Drive folder EXP-002 (config.json + checkpoints/ present at 22:28-22:29 IST; no metrics.csv yet),started 2026-09-12 ~22:28 IST from the client-side queue after the VM rebuild; first attempt on the earlier VM never started (pkill in the launcher line killed its own shell)
EXP-003,P1,"two-phase transfer learning, Adam, head 1e-3 then last-3-blocks 1e-5, no full stage","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)","run 1: frontend-INTERRUPTED, probably COMPLETED in background, artifacts overwritten (NOT RECORDED); run 2: FAILED to start (exit 2); run 3: RUNNING since 22:43 IST",,,val,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,,NO,Drive folder EXP-003 modified 18:02 IST = interrupted run (partial checkpoints only); Colab log observed up to finetune epoch 13/25 val f1_macro 0.840,first run killed by Colab VM recycle at ~18:16 IST; second attempt on the new VM refused (exit 2) because the partial directory existed; third attempt queued with rm -rf; artifacts NOT copied locally
EXP-004,P4,"SGD momentum 0.9, lr 0.01, StepLR x0.1 every 5 epochs per stage","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)","COMPLETED (artifacts on Drive, not yet copied locally)",,,val,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,Drive: MyDrive/AquaHealth/runs/experiments/EXP-004/best_model.pth (Drive listing 21:28 IST),NO,"Drive folder EXP-004: config.json, metrics.csv, inference_benchmark.json, experiment_report.md, training_curves.png, confusion_matrix*.png, best_model.pth, checkpoints/","Colab log line observed: 'EXP-004 done: val macro-F1 0.9330 (stage full, epoch 3) in 24.7 min' (16:08:43 UTC) - OBSERVED LOG VALUE, metrics.csv not yet copied locally"
EXP-005,P4,"augmentation: flip 0.5, crop 0.8-1.0, jitter +-0.2 brightness/contrast/saturation, no rotation","torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)","COMPLETED (artifacts on Drive, not yet copied locally)",,,val,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,Drive: MyDrive/AquaHealth/runs/experiments/EXP-005/best_model.pth,NO,Drive folder EXP-005 (modified 21:38 IST),"Colab log line observed: 'EXP-005 done: val macro-F1 0.9335 (stage full, epoch 15) in 23.6 min' (16:32:40 UTC) - OBSERVED LOG VALUE, metrics.csv not yet copied locally"
EXP-006,P3,Adam lr 3e-5 for all parameters in all stages,"torchvision EfficientNet-B0 (IMAGENET1K_V1) + Dropout(0.2)->Linear(1280,8)","COMPLETED on Colab (inferred from the next queued run starting; completion log not observed; artifacts on Drive, not copied locally)",,,val,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,Drive: MyDrive/AquaHealth/runs/experiments/EXP-006/ (contents not yet listed),NO,Drive folder EXP-006 (modified 22:02 IST),last observed Colab log: partial epoch 5/10 val f1_macro 0.766 (Adam 3e-5 converges slowly); page reload lost the rest of the log; final metrics NOT RECORDED locally
